Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 2.0; max tp 1555.0; max fp 24974.0; min fn 300.0; max tp_pred_crit 1147.6659824533874; max tp_gt_crit 1145.5236411651747; max fp_pred_crit 15870.418780592498; min fn_gt_crit 168.51425697207492
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 4.0; max tp 1584.0; max fp 24945.0; min fn 271.0; max tp_pred_crit 1170.3982593121618; max tp_gt_crit 1167.7817339527453; max fp_pred_crit 15847.686503733725; min fn_gt_crit 145.78198011330028
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 0.5; max tp 1199.0; max fp 38250.0; min fn 625.0; max tp_pred_crit 943.1805321053583; max tp_gt_crit 939.2531725663883; max fp_pred_crit 26110.730639156012; min fn_gt_crit 411.2884388002302
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 1.0; max tp 1254.0; max fp 38195.0; min fn 570.0; max tp_pred_crit 986.0066838380812; max tp_gt_crit 982.5355982966935; max fp_pred_crit 26067.90448742329; min fn_gt_crit 368.4622870675073
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 2.0; max tp 1276.0; max fp 38173.0; min fn 548.0; max tp_pred_crit 998.8799425410774; max tp_gt_crit 994.3777848049682; max fp_pred_crit 26055.031228720294; min fn_gt_crit 355.58902836451136
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 4.0; max tp 1346.0; max fp 38103.0; min fn 478.0; max tp_pred_crit 1046.5222805574397; max tp_gt_crit 1043.701067448921; max fp_pred_crit 26007.388890703944; min fn_gt_crit 307.9466903481475
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 0.5; max tp 8865.0; max fp 85874.0; min fn 1705.0; max tp_pred_crit 7479.368655842477; max tp_gt_crit 7469.6579863515435; max fp_pred_crit 68285.41223105164; min fn_gt_crit 1369.9620848806799
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 1.0; max tp 9023.0; max fp 85716.0; min fn 1547.0; max tp_pred_crit 7612.101351114125; max tp_gt_crit 7606.146975556825; max fp_pred_crit 68152.67953577994; min fn_gt_crit 1237.2293896090387
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 2.0; max tp 9198.0; max fp 85541.0; min fn 1372.0; max tp_pred_crit 7757.464715626835; max tp_gt_crit 7753.226865472134; max fp_pred_crit 68007.31617126717; min fn_gt_crit 1091.8660250963367
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 4.0; max tp 9473.0; max fp 85266.0; min fn 1097.0; max tp_pred_crit 7988.573860251271; max tp_gt_crit 7978.88207780308; max fp_pred_crit 67776.20702664267; min fn_gt_crit 860.7568804719085
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 0.5; max tp 12911.0; max fp 144681.0; min fn 2992.0; max tp_pred_crit 10359.894515521479; max tp_gt_crit 10267.373315696797; max fp_pred_crit 110438.94452849733; min fn_gt_crit 2205.133095888592
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 1.0; max tp 14009.0; max fp 143583.0; min fn 1894.0; max tp_pred_crit 11243.737000928379; max tp_gt_crit 11146.605021793206; max fp_pred_crit 109555.10204309042; min fn_gt_crit 1321.2906104817084
