Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 4.0; max tp 1596.0; max fp 28387.0; min fn 259.0; max tp_pred_crit 1184.344612991408; max tp_gt_crit 1186.2872632511298; max fp_pred_crit 17481.71180772137; min fn_gt_crit 131.8356264340548
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 0.5; max tp 1116.0; max fp 50177.0; min fn 708.0; max tp_pred_crit 876.3953785357163; max tp_gt_crit 857.1816667138953; max fp_pred_crit 35405.26438080109; min fn_gt_crit 478.073592369871
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 1.0; max tp 1195.0; max fp 50098.0; min fn 629.0; max tp_pred_crit 939.3144541188182; max tp_gt_crit 922.7119310898839; max fp_pred_crit 35342.345305218; min fn_gt_crit 415.1545167867689
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 2.0; max tp 1234.0; max fp 50059.0; min fn 590.0; max tp_pred_crit 968.6535957092309; max tp_gt_crit 951.3173810957186; max fp_pred_crit 35313.006163627586; min fn_gt_crit 385.81537519635674
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 4.0; max tp 1307.0; max fp 49986.0; min fn 517.0; max tp_pred_crit 1016.8763550296561; max tp_gt_crit 998.5922333102328; max fp_pred_crit 35264.78340430716; min fn_gt_crit 337.59261587593073
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 0.5; max tp 8652.0; max fp 128838.0; min fn 1918.0; max tp_pred_crit 7260.415197464773; max tp_gt_crit 7284.331937164674; max fp_pred_crit 102726.39854324213; min fn_gt_crit 1588.9155432583848
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 1.0; max tp 8886.0; max fp 128604.0; min fn 1684.0; max tp_pred_crit 7463.275240519415; max tp_gt_crit 7486.836034751712; max fp_pred_crit 102523.53850018754; min fn_gt_crit 1386.0555002037418
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 2.0; max tp 9116.0; max fp 128374.0; min fn 1454.0; max tp_pred_crit 7658.699472889479; max tp_gt_crit 7678.254998259392; max fp_pred_crit 102328.11426781742; min fn_gt_crit 1190.6312678336744
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name traffic_cone; dist_th 4.0; max tp 9472.0; max fp 128018.0; min fn 1098.0; max tp_pred_crit 7928.711914496652; max tp_gt_crit 7969.024096747251; max fp_pred_crit 102058.10182621008; min fn_gt_crit 920.6188262264959
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 0.5; max tp 10717.0; max fp 85928.0; min fn 5186.0; max tp_pred_crit 8625.093010760149; max tp_gt_crit 8531.646526497752; max fp_pred_crit 64090.810319341996; min fn_gt_crit 3939.934600649998
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 1.0; max tp 13655.0; max fp 82990.0; min fn 2248.0; max tp_pred_crit 10958.0942507776; max tp_gt_crit 10850.45836111886; max fp_pred_crit 61757.80907932431; min fn_gt_crit 1606.9333606325745
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 2.0; max tp 14257.0; max fp 82388.0; min fn 1646.0; max tp_pred_crit 11432.252695900943; max tp_gt_crit 11335.286777332247; max fp_pred_crit 61283.650634201054; min fn_gt_crit 1132.7749155091788
Model pointpillars-fpn; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name barrier; dist_th 4.0; max tp 14463.0; max fp 82182.0; min fn 1440.0; max tp_pred_crit 11582.388238350575; max tp_gt_crit 11480.78327612663; max fp_pred_crit 61133.51509175149; min fn_gt_crit 982.6393730595319
