Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
ssn-REGNET;30.0;20.0;10.0;traffic_cone;2.0;0.2782617459808141;0.2961198665784298
ssn-REGNET;30.0;20.0;10.0;traffic_cone;4.0;0.3412608138164759;0.35853708505638776
ssn-REGNET;30.0;20.0;10.0;barrier;0.5;0.3161057946187705;0.3294291389868541
ssn-REGNET;30.0;20.0;10.0;barrier;1.0;0.5410789955797973;0.5570854531917058
ssn-REGNET;30.0;20.0;10.0;barrier;2.0;0.6351910939750923;0.6554518473693436
ssn-REGNET;30.0;20.0;10.0;barrier;4.0;0.6693620173895785;0.6876078239778095
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
ssn-REGNET;30.0;20.0;10.0;car;0.5;0.715936870023853;0.7904696247334837
ssn-REGNET;30.0;20.0;10.0;car;1.0;0.8373895653311239;0.8878987754589762
ssn-REGNET;30.0;20.0;10.0;car;2.0;0.8753989675928855;0.9159844974736964
ssn-REGNET;30.0;20.0;10.0;car;4.0;0.8889605180343033;0.926150127841217
ssn-REGNET;30.0;20.0;10.0;truck;0.5;0.3213426252881673;0.37709997837487186
ssn-REGNET;30.0;20.0;10.0;truck;1.0;0.5091488032190465;0.5575773772262473
ssn-REGNET;30.0;20.0;10.0;truck;2.0;0.6095823629770836;0.6589515529017297
ssn-REGNET;30.0;20.0;10.0;truck;4.0;0.6436096488101338;0.6825974139274142
ssn-REGNET;30.0;20.0;10.0;bus;0.5;0.32904404182026403;0.4626295745275991
ssn-REGNET;30.0;20.0;10.0;bus;1.0;0.5947705185015386;0.7092836097528566
